,City,Country,Max Temp,Lat,Lng,Hotel Name
278,Abu Kamal,SY,92.53,34.4506,40.9171,
279,Sergeyevka,KZ,63.36,53.88,67.4158,
280,Harper,LR,75.02,4.375,-7.7169,
281,Mandalgovi,MN,77.4,45.7625,106.2708,
282,Benguela,AO,66.58,-12.5763,13.4055,
283,Upernavik,GL,40.35,72.7868,-56.1549,
284,Sorland,NO,49.86,67.667,12.6934,
285,Loandjili,CG,68.11,-4.7561,11.8578,
286,Luziania,BR,55.09,-16.2525,-47.9503,
287,Khani,GE,63.97,41.9563,42.9566,
288,Guerrero Negro,MX,68.27,27.9769,-114.0611,
289,Geraldton,AU,72.01,-28.7667,114.6,
290,Nizhnevartovsk,RU,66.22,60.9344,76.5531,
291,Coquimbo,CL,51.53,-29.9533,-71.3436,
292,Nabire,ID,83.26,-3.3667,135.4833,
293,Manzanillo,CU,75.88,20.3433,-77.1167,
294,Akcakoca,TR,72.81,41.0866,31.1162,
295,Excelsior Springs,US,77.88,39.3392,-94.2261,
296,Husavik,IS,51.96,66.0449,-17.3389,
297,Bengkulu,ID,85.37,-3.8004,102.2655,
298,Clyde River,CA,37.63,70.4692,-68.5914,
299,Paamiut,GL,42.64,61.994,-49.6678,
300,Mandan,US,62.58,46.8267,-100.8896,
301,Maple Creek,CA,66.61,49.9168,-109.4848,
302,Half Moon Bay,US,64.81,37.4636,-122.4286,
303,Pindushi,RU,63.34,62.9152,34.58,
304,Dalvik,IS,51.73,65.9702,-18.5286,
305,Kenai,US,68.09,60.5544,-151.2583,
306,Mitsamiouli,KM,79.09,-11.3847,43.2844,
307,Pitimbu,BR,70.39,-7.4706,-34.8086,
308,Inirida,CO,72.54,3.8653,-67.9239,
309,Luwuk,ID,81.9,-0.9516,122.7875,
310,Champagnole,FR,63.48,46.7445,5.9135,
311,Heihe,CN,77.58,50.2441,127.4902,
312,Yaan,NG,70.27,7.3833,8.5667,
313,Uyuni,BO,41.56,-20.4597,-66.825,
314,Fukue,JP,88.16,32.6881,128.8419,
315,Northam,GB,55.38,51.0333,-4.2167,
316,Haines Junction,CA,51.75,60.7522,-137.5108,
317,Basco,PH,86.23,20.4487,121.9702,
319,Biak,ID,79.18,-0.9131,122.8766,
320,Porto Novo,BJ,75.54,6.4965,2.6036,
321,Saskylakh,RU,76.01,71.9167,114.0833,
322,Taltal,CL,58.55,-25.4,-70.4833,
323,Talara,PE,63.88,-4.5772,-81.2719,
324,Ulladulla,AU,57.22,-35.35,150.4667,
325,Shahreza,IR,81.9,32.0339,51.8794,
326,Ormara,PK,82.98,25.2088,64.6357,
327,Lubango,AO,57.06,-14.9172,13.4925,
329,Kourou,GF,75.11,5.1552,-52.6478,
330,Teahupoo,PF,71.56,-17.8333,-149.2667,
331,Bambous Virieux,MU,74.21,-20.3428,57.7575,
332,Gigmoto,PH,88.11,13.7796,124.39,
333,Pajan,EC,69.53,-1.5667,-80.4167,
334,Myrtle Beach,US,81.09,33.6891,-78.8867,
335,Kiunga,PG,80.35,-6.1219,141.2906,
336,Sfantu Gheorghe,RO,69.26,45.8667,25.7833,
337,Malaya Serdoba,RU,77.59,52.4661,44.9512,
338,Meulaboh,ID,85.01,4.1363,96.1285,
339,Tahe,CN,76.3,52.3333,124.7333,
340,Bahia Blanca,AR,42.24,-38.7196,-62.2724,
341,Anloga,GH,75.67,5.7947,0.8973,
342,Champerico,GT,78.42,14.3,-91.9167,
343,Gornopravdinsk,RU,67.19,60.05,69.9,
344,Sumbe,AO,66.97,-11.2061,13.8437,
345,Iroquois Falls,CA,58.19,48.7669,-80.6831,
346,Itaituba,BR,77.16,-4.2761,-55.9836,
347,Ryotsu,JP,81.48,38.0833,138.4333,
348,Kargat,RU,83.73,55.1956,80.2811,
349,Brae,GB,53.55,60.3964,-1.353,
350,Vila Velha,BR,64.94,-20.3297,-40.2925,
351,Najran,SA,86.65,17.4924,44.1277,
352,Yalvac,TR,79.02,38.2956,31.1778,
353,Saint Anthony,US,71.49,45.0205,-93.218,
354,Mackenzie,CA,70.02,55.2999,-123.1698,
355,Jinxiang,CN,87.91,27.4327,120.6062,
356,La Ronge,CA,57.45,55.1001,-105.2842,
357,Konskie,PL,62.24,51.1917,20.4061,
358,Mezhdurechensk,RU,78.28,53.6942,88.0603,
359,Kasongo-Lunda,CD,66.25,-6.4667,16.8167,
360,Lodja,CD,75.04,-3.4833,23.4333,
361,Puerto Escondido,MX,76.84,15.85,-97.0667,
362,Port Keats,AU,89.53,-14.25,129.55,
363,Hambantota,LK,82.74,6.1241,81.1185,
364,Villarrica,PY,66.43,-25.75,-56.4333,
365,Igarka,RU,61.65,67.4667,86.5833,
366,Erenhot,CN,90.88,43.6475,111.9767,
367,Lasa,IT,63.48,46.6166,10.7002,
368,Mindelo,CV,78.35,16.8901,-24.9804,
369,Sinnamary,GF,75.87,5.3833,-52.95,
370,Pochutla,MX,76.82,15.7432,-96.4661,
371,Bambari,CF,70.72,5.768,20.6757,
372,Gunjur,GM,78.87,13.2019,-16.7339,
373,San Policarpo,PH,88.81,12.1791,125.5072,
374,Lazo,RU,88.84,43.3817,133.9014,
375,Richards Bay,ZA,65.23,-28.783,32.0377,
376,Presidencia Roque Saenz Pena,AR,72.54,-26.7852,-60.4388,
377,Vallenar,CL,58.41,-28.5708,-70.7581,
378,Tommot,RU,85.95,58.9564,126.2925,
379,Adrar,MR,92.35,20.5022,-10.0711,
380,Sechura,PE,63.09,-5.5569,-80.8222,
381,Belyy Yar,RU,73.29,53.6039,91.3903,
382,Storforshei,NO,51.66,66.4043,14.5233,
383,Labuhan,ID,87.4,-6.8844,112.2051,
384,Channel-Port Aux Basques,CA,59.86,47.5702,-59.1367,
385,Barda,AZ,78.08,40.3744,47.1267,
386,Hervey Bay,AU,65.7,-25.2986,152.8535,
387,Kharabali,RU,76.66,47.4196,47.2568,
388,Slave Lake,CA,69.78,55.2834,-114.769,
389,Baghdad,IQ,93.11,33.3406,44.4009,
390,Winneba,GH,74.03,5.3511,-0.6231,
391,Arona,ES,70.92,28.0996,-16.681,
392,Ladovskaya Balka,RU,72.57,45.6297,41.4023,
393,Alyangula,AU,77.0,-13.8483,136.4192,
394,Laje,BR,60.8,-10.1833,-40.9667,
395,Palmer,US,69.21,42.1584,-72.3287,
396,Soyo,AO,69.28,-6.1349,12.3689,
397,Gualan,GT,72.99,15.1333,-89.3667,
398,Immokalee,US,82.38,26.4187,-81.4173,
399,Camacha,PT,67.42,33.0833,-16.3333,
400,Tocopilla,CL,60.35,-22.092,-70.1979,
401,Vila Do Maio,CV,77.79,15.1333,-23.2167,
402,Bathsheba,BB,81.21,13.2167,-59.5167,
403,Oktyabrskiy,RU,70.84,54.4815,53.471,
404,Prince Albert,CA,53.55,53.2001,-105.7677,
405,Kitami,JP,71.06,43.8031,143.8908,
406,Bubaque,GW,79.72,11.2833,-15.8333,
407,Hirara,JP,91.26,24.8,125.2833,
408,Xining,CN,75.79,36.6167,101.7667,
409,Zyryanka,RU,61.25,65.75,150.85,
410,Kigorobya,UG,70.27,1.6162,31.3089,
411,Pahrump,US,86.05,36.2083,-115.9839,
412,Kilakarai,IN,86.07,9.2333,78.7833,
413,Khujner,IN,79.93,23.7833,76.6,
414,Torgau,DE,57.11,51.5667,13.0,
415,Touros,BR,71.91,-5.1989,-35.4608,
416,Poum,NC,72.97,-20.2333,164.0167,
417,Peniche,PT,66.29,39.3558,-9.3811,
418,Yerbogachen,RU,79.63,61.2767,108.0108,
419,Wau,SS,72.68,7.7029,27.9953,
420,Bell Ville,AR,50.67,-32.6259,-62.6887,
421,San Isidro,PE,60.01,-12.1167,-77.05,
422,Lukovetskiy,RU,73.76,64.2956,41.9211,
423,Asheville,US,74.17,35.6009,-82.554,
424,Kaohsiung,TW,93.15,22.6163,120.3133,
425,Kieta,PG,83.48,-6.2167,155.6333,
426,Ampanihy,MG,66.85,-24.7,44.75,
427,Coruripe,BR,70.83,-10.1256,-36.1756,
428,Saint-Francois,FR,53.67,46.4154,3.9054,
429,Dongsheng,CN,83.86,39.8161,109.9776,
430,Rawson,AR,40.3,-43.3002,-65.1023,
431,Maine-Soroa,NE,79.12,13.2114,12.0241,
