City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,139,San Patricio,28.017,-97.5169,85.89,75,2,13.22,US,2022-07-28 05:24:52
140,140,Yumen,40.2833,97.2,91.0,13,79,17.96,CN,2022-07-28 05:24:52
141,141,Ballina,-28.8667,153.5667,69.01,53,0,4.97,AU,2022-07-28 05:24:52
142,142,Constitucion,-35.3333,-72.4167,47.93,72,5,5.53,CL,2022-07-28 05:24:53
143,143,Gamba,-2.65,10.0,68.34,92,32,2.28,GA,2022-07-28 05:19:37
144,144,Nouadhibou,20.931,-17.0347,73.38,78,3,24.16,MR,2022-07-28 05:24:54
145,145,Puerto Ayora,-0.7393,-90.3518,67.55,99,98,5.01,EC,2022-07-28 05:24:54
146,146,Ponta Do Sol,32.6667,-17.1,72.23,80,0,5.26,PT,2022-07-28 05:24:54
147,147,Danilov,58.1908,40.1717,69.39,88,72,4.99,RU,2022-07-28 05:24:55
148,148,Terney,45.0503,136.6092,71.92,80,50,6.11,RU,2022-07-28 05:24:55
149,149,Victoria,22.2855,114.1577,95.38,64,0,5.99,HK,2022-07-28 05:20:32
150,150,Anadyr,64.75,177.4833,50.5,76,75,15.66,RU,2022-07-28 05:24:56
151,151,Maceio,-9.6658,-35.7353,72.84,88,75,5.75,BR,2022-07-28 05:21:47
152,152,Copperas Cove,31.1241,-97.9031,85.68,58,20,8.05,US,2022-07-28 05:22:54
153,153,Pizarro,4.9533,-77.366,74.89,92,70,3.02,CO,2022-07-28 05:24:57
154,154,Buta,2.7858,24.73,68.83,100,92,1.77,CD,2022-07-28 05:24:58
155,155,Lebu,-37.6167,-73.65,48.29,86,18,3.91,CL,2022-07-28 05:24:58
156,156,Saint-Augustin,51.226,-58.6502,54.32,89,54,8.7,CA,2022-07-28 05:24:59
157,157,Longyearbyen,78.2186,15.6401,42.64,81,75,18.41,SJ,2022-07-28 05:23:31
158,158,Saint-Michel-Des-Saints,46.6834,-73.9159,59.94,93,32,3.04,CA,2022-07-28 05:24:59
159,159,Hami,42.8,93.45,96.28,7,0,4.79,CN,2022-07-28 05:25:00
160,160,Mar Del Plata,-38.0023,-57.5575,50.09,57,100,15.99,AR,2022-07-28 05:19:33
