City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Sioux Lookout,50.1001,-91.917,60.87,82,75,8.05,CA,2022-07-27 23:32:37
115,Hualmay,-11.0964,-77.6139,62.11,82,24,12.93,PE,2022-07-27 23:36:31
116,Komatipoort,-25.4332,31.9548,60.04,74,0,6.53,ZA,2022-07-27 23:36:32
117,Eregli,37.5133,34.0467,67.64,34,0,0.87,TR,2022-07-27 23:36:32
118,Port Keats,-14.25,129.55,74.91,29,18,14.92,AU,2022-07-27 23:36:33
119,Vila Franca Do Campo,37.7167,-25.4333,73.81,92,51,4.25,PT,2022-07-27 23:36:34
120,Padang,-0.9492,100.3543,71.65,78,73,4.21,ID,2022-07-27 23:36:34
121,Ilulissat,69.2167,-51.1,44.62,87,75,4.61,GL,2022-07-27 23:36:35
122,Macusani,-14.0833,-70.4333,38.35,71,39,3.83,PE,2022-07-27 23:36:35
123,Bengkulu,-3.8004,102.2655,75.9,85,61,3.51,ID,2022-07-27 23:33:10
124,Horodnya,51.8909,31.5974,60.48,94,82,8.1,UA,2022-07-27 23:36:36
125,Jamestown,42.097,-79.2353,73.71,73,100,6.91,US,2022-07-27 23:36:36
126,Vostok,46.4856,135.8833,77.49,64,77,2.01,RU,2022-07-27 23:36:36
127,Ahipara,-35.1667,173.1667,59.16,90,41,16.98,NZ,2022-07-27 23:36:37
128,Pevek,69.7008,170.3133,35.04,90,100,2.8,RU,2022-07-27 23:36:38
129,Fort Nelson,58.8053,-122.7002,78.39,50,20,6.91,CA,2022-07-27 23:34:20
130,Lavrentiya,65.5833,-171.0,42.6,81,97,7.45,RU,2022-07-27 23:34:19
131,Toma,12.7667,-2.8833,81.9,64,56,13.71,BF,2022-07-27 23:36:38
132,Bria,6.5423,21.9863,69.26,96,100,1.81,CF,2022-07-27 23:36:39
133,Zhezkazgan,47.8043,67.7144,70.99,52,0,7.67,KZ,2022-07-27 23:36:39
134,Bartica,6.4,-58.6167,80.92,98,82,3.02,GY,2022-07-27 23:36:40
135,Sorland,67.667,12.6934,49.86,79,87,13.42,NO,2022-07-27 23:36:41
136,Pingliang,35.5392,106.6861,72.36,47,0,2.39,CN,2022-07-27 23:37:41
137,Dikson,73.5069,80.5464,40.87,94,93,10.65,RU,2022-07-27 23:35:31
138,Souillac,-20.5167,57.5167,68.38,83,40,8.05,MU,2022-07-27 23:37:42
139,Boda,4.3189,17.4695,69.46,98,100,0.94,CF,2022-07-27 23:37:43
140,Port Elizabeth,-33.918,25.5701,52.09,93,20,2.3,ZA,2022-07-27 23:37:43
141,Denpasar,-8.65,115.2167,76.71,88,20,8.05,ID,2022-07-27 23:37:44
142,Okato,-39.2,173.8833,56.17,91,98,14.52,NZ,2022-07-27 23:37:44
143,Rio Gallegos,-51.6226,-69.2181,33.85,64,0,14.97,AR,2022-07-27 23:37:45
144,Nelson Bay,-32.7167,152.15,57.0,71,3,13.0,AU,2022-07-27 23:37:45
145,Upernavik,72.7868,-56.1549,39.99,86,100,1.45,GL,2022-07-27 23:37:46
146,Cape Town,-33.9258,18.4232,58.37,81,0,1.14,ZA,2022-07-27 23:33:03
147,Westport,41.1415,-73.3579,80.02,64,0,12.66,US,2022-07-27 23:37:46
148,Shimanovsk,52.0,127.7,74.75,77,100,8.77,RU,2022-07-27 23:37:47
149,Cuamba,-14.8031,36.5372,60.71,75,78,3.65,MZ,2022-07-27 23:37:47
150,Tuatapere,-46.1333,167.6833,44.51,94,100,1.05,NZ,2022-07-27 23:37:48
151,Sao Filipe,14.8961,-24.4956,79.29,86,84,3.33,CV,2022-07-27 23:37:49
152,Ojinaga,29.5667,-104.4167,100.42,34,75,11.5,MX,2022-07-27 23:37:49
153,Grindavik,63.8424,-22.4338,50.47,76,100,19.57,IS,2022-07-27 23:37:49
154,Ponta Do Sol,32.6667,-17.1,72.23,81,0,4.07,PT,2022-07-27 23:35:30
155,Aykhal,66.0,111.5,76.17,64,46,5.21,RU,2022-07-27 23:37:50
156,Naze,28.3667,129.4833,79.72,82,100,18.03,JP,2022-07-27 23:37:51
157,Pafos,34.7667,32.4167,76.78,78,0,4.61,CY,2022-07-27 23:37:51
158,Troitsko-Pechorsk,62.7084,56.1964,52.39,75,32,1.41,RU,2022-07-27 23:37:52
159,Zavoronezhskoye,52.8801,40.5526,70.2,70,59,4.54,RU,2022-07-27 23:37:52
160,Villarrica,-25.75,-56.4333,71.24,59,61,3.71,PY,2022-07-27 23:37:53
161,Camacupa,-12.0167,17.4833,55.49,31,100,3.96,AO,2022-07-27 23:37:04
162,Salalah,17.0151,54.0924,77.09,94,100,6.91,OM,2022-07-27 23:37:54
163,Constitucion,-35.3333,-72.4167,49.48,82,3,2.55,CL,2022-07-27 23:37:54
164,Kapaa,22.0752,-159.319,84.52,69,20,12.66,US,2022-07-27 23:33:08
165,Georgetown,5.4112,100.3354,79.9,91,20,3.44,MY,2022-07-27 23:34:13
166,Boysun,38.2061,67.1986,78.87,27,11,2.15,UZ,2022-07-27 23:37:55
167,Sitka,57.0531,-135.33,64.29,68,100,5.75,US,2022-07-27 23:37:56
168,Yataity,-26.3667,-56.0667,69.33,64,42,3.91,PY,2022-07-27 23:37:56
169,Sao Joao Da Barra,-21.6403,-41.0511,69.6,79,0,10.71,BR,2022-07-27 23:37:57
170,Jumla,29.2747,82.1838,62.08,97,100,0.92,NP,2022-07-27 23:33:27
171,Kavaratti,10.5669,72.642,81.03,80,100,21.39,IN,2022-07-27 23:33:34
172,Te Anau,-45.4167,167.7167,41.76,98,100,2.28,NZ,2022-07-27 23:37:57
173,Anloga,5.7947,0.8973,75.85,89,96,17.6,GH,2022-07-27 23:37:58
174,Flin Flon,54.7682,-101.865,69.64,46,20,13.8,CA,2022-07-27 23:37:58
175,Pathein,16.7833,94.7333,79.88,89,19,5.53,MM,2022-07-27 23:37:59
176,Tasiilaq,65.6145,-37.6368,44.76,97,82,8.25,GL,2022-07-27 23:37:59
177,Wanning,18.8003,110.3967,81.72,79,73,2.59,CN,2022-07-27 23:36:10
178,Dumas,35.8656,-101.9732,95.61,26,0,16.11,US,2022-07-27 23:38:00
179,Codrington,-38.2667,141.9667,49.03,80,79,7.4,AU,2022-07-27 23:38:01
180,Sumkino,58.1108,68.3244,56.32,78,100,8.86,RU,2022-07-27 23:38:01
181,Pozo Colorado,-23.4923,-58.7972,77.31,28,40,5.93,PY,2022-07-27 23:38:02
182,Kloulklubed,7.0419,134.2556,77.5,72,95,8.21,PW,2022-07-27 23:39:02
183,Luderitz,-26.6481,15.1594,55.56,74,0,1.92,NA,2022-07-27 23:39:03
184,Kinablangan,7.6947,126.5503,82.4,75,92,2.37,PH,2022-07-27 23:39:03
185,Torbay,47.6666,-52.7314,68.77,86,40,8.05,CA,2022-07-27 23:39:04
186,Biak,-0.9131,122.8766,75.72,89,99,6.42,ID,2022-07-27 23:39:04
187,Kaitangata,-46.2817,169.8464,44.6,96,100,6.24,NZ,2022-07-27 23:37:07
188,Bredasdorp,-34.5322,20.0403,49.68,91,0,5.77,ZA,2022-07-27 23:39:05
189,Sayat,38.7839,63.8803,80.47,24,1,17.09,TM,2022-07-27 23:39:06
190,El Alto,-4.2714,-81.2147,67.66,88,45,15.99,PE,2022-07-27 23:39:06
191,Dunedin,-45.8742,170.5036,45.81,89,100,4.0,NZ,2022-07-27 23:39:07
192,Russell,32.3502,-85.1999,91.0,55,0,4.61,US,2022-07-27 23:39:07
