,City,Country,Max Temp,Lat,Lng,Hotel Name
116,Tasiilaq,GL,42.96,65.6145,-37.6368,The Red House
117,Malanville,BJ,76.5,11.8685,3.3899,Hotel Sejour du Sahel
118,Kahului,US,80.62,20.8947,-156.47,Maui Seaside Hotel
119,Bredasdorp,ZA,47.43,-34.5322,20.0403,Bredasdorp Country Manor
120,Sitka,US,58.89,57.0531,-135.33,Westmark Sitka
121,Kavieng,PG,84.74,-2.5744,150.7967,Nusa Island Retreat
122,Juneau,US,60.8,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
123,Cherskiy,RU,55.96,68.75,161.3,Gostinitsa
124,Bonfim,BR,73.71,3.0833,-59.95,
125,New Norfolk,AU,52.92,-42.7826,147.0587,The Shingles Riverside Cottages
126,Kazachka,RU,72.12,53.3644,38.0694,
127,Margate,GB,62.91,51.3813,1.3862,Premier Inn Margate hotel
128,Erdaojiang,CN,86.38,41.7764,126.0319,Tonggang Hotel
129,Souillac,MU,73.78,-20.5167,57.5167,Shanti Maurice Resort & Spa
130,Alofi,NU,73.29,-19.0595,-169.9187,Taloa Heights
131,Xinxiang,CN,83.07,35.3089,113.8672,Guoyu Holiday Inn
132,Port Hedland,AU,82.45,-20.3167,118.5667,The Esplanade Hotel
133,Nakhon Thai,TH,91.24,17.1006,100.8374,อี๊ฟกะแอมป์รีสอร์ท EVEKAAMP Resort
134,Mayo,US,80.58,38.8876,-76.5119,Resorts Resource Group International
135,Chokurdakh,RU,62.46,70.6333,147.9167,
136,Vila Franca Do Campo,PT,76.19,37.7167,-25.4333,Pestana Bahia Praia
137,Manzhouli,CN,76.69,49.6,117.4333,Angala International Youth Hostel
138,Severnyy,RU,75.24,50.677,36.5532,Full House North Mini-Hotel
139,San Patricio,US,85.89,28.017,-97.5169,"Motel 6 Sinton, TX"
140,Yumen,CN,91.0,40.2833,97.2,
141,Ballina,AU,69.01,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
142,Constitucion,CL,47.93,-35.3333,-72.4167,Hotel Boutique Las Azucenas
143,Gamba,GA,68.34,-2.65,10.0,
144,Nouadhibou,MR,73.38,20.931,-17.0347,El Medina
145,Puerto Ayora,EC,67.55,-0.7393,-90.3518,Finch Bay Galapagos Hotel
146,Ponta Do Sol,PT,72.23,32.6667,-17.1,Hotel do Campo
147,Danilov,RU,69.39,58.1908,40.1717,Sot'.
148,Terney,RU,71.92,45.0503,136.6092,"Hotel ""Ternay"""
150,Anadyr,RU,50.5,64.75,177.4833,Отке17.ру — жильё для командированных
151,Maceio,BR,72.84,-9.6658,-35.7353,Hotel Ponta Verde Maceió
152,Copperas Cove,US,85.68,31.1241,-97.9031,Super 8 by Wyndham Copperas Cove
153,Pizarro,CO,74.89,4.9533,-77.366,Hotel Limonar
154,Buta,CD,68.83,2.7858,24.73,Hôtel BOPANDO
155,Lebu,CL,48.29,-37.6167,-73.65,Hostal Las Lilas
156,Saint-Augustin,CA,54.32,51.226,-58.6502,
157,Longyearbyen,SJ,42.64,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
158,Saint-Michel-Des-Saints,CA,59.94,46.6834,-73.9159,Motel Du Mont trinity
160,Mar Del Plata,AR,50.09,-38.0023,-57.5575,Gran Hotel Mar del Plata
161,Great Bend,US,79.03,38.3645,-98.7648,Best Western Angus Inn
162,Asfi,MA,67.66,32.2994,-9.2372,Hôtel Abda
163,Berdigestyakh,RU,87.06,62.0989,126.6992,
164,Gibara,CU,78.12,21.1097,-76.1317,Sol y Mar
165,Tecoanapa,MX,77.13,16.5167,-98.75,Hotel Manglares
166,Thinadhoo,MV,83.44,0.5333,72.9333,
167,Kemijarvi,FI,52.81,66.7131,27.4306,Hotelli Kemijärvi
168,Srednekolymsk,RU,59.67,67.45,153.6833,
169,Talcahuano,CL,46.08,-36.7167,-73.1167,departamento comodo
170,Komsomolskiy,UZ,93.92,40.4272,71.7189,Ikathouse
171,Nova Olimpia,BR,69.39,-14.7972,-57.2881,Motel glamour
172,Quebec,CA,66.54,46.8123,-71.2145,Hilton Quebec
173,Huilong,CN,87.06,31.8111,121.655,Hilton Garden Inn Qidong
174,Jizan,SA,88.74,17.3333,42.6667,شهدان. ابوالحجر
175,Zhigansk,RU,79.9,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
176,Talnakh,RU,61.21,69.4865,88.3972,Talnakh Hotel
177,Port Hueneme,US,71.51,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
178,Flinders,AU,66.38,-34.5833,150.8552,Shellharbour Resort & Conference Centre
179,Sabha,LY,79.2,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
180,Coahuayana,MX,77.22,18.7333,-103.6833,El rranchito michuacan de ocampos
181,Port Blair,IN,86.04,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
182,Norman Wells,CA,60.84,65.282,-126.8329,Heritage Hotel
183,Isangel,VU,75.76,-19.55,169.2667,
184,Podgorica,ME,74.98,42.4411,19.2636,Hotel Podgorica
185,Dukat,RU,57.9,62.55,155.55,
186,Zhucheng,CN,87.62,35.9947,119.3975,Fanrong Hotel
187,Maldonado,UY,56.23,-34.6667,-54.9167,La Cimarrona
188,Tynda,RU,73.33,55.1667,124.7167,"Gostinitsa ""Tayezhnaya"""
189,Wanning,CN,90.21,18.8003,110.3967,Paradise Hotel
190,Quatre Cocos,MU,74.08,-20.2078,57.7625,Sunrise Attitude Hotel
